feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,13,57,120,636,0.108333,0.0896226,1.20877,0.0187107,true
has_enum__AND__has_pattern,has_enum,has_pattern,7,358,0.0191781,3,67,28,728,0.107143,0.092033,1.16418,0.0151099,true
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,5,65,47,709,0.106383,0.0916784,1.16039,0.0147046,true
has_anyOf__AND__has_items,has_anyOf,has_items,7,358,0.0191781,3,67,29,727,0.103448,0.0921596,1.12249,0.0112887,true
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,359,0.0164384,2,68,20,736,0.1,0.0923913,1.08235,0.0076087,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,2,68,21,735,0.0952381,0.092517,1.02941,0.00272109,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,24,341,0.0657534,7,63,74,682,0.0945946,0.0923754,1.02402,0.00221923,true
has_items__AND__has_type,has_items,has_type,67,298,0.183562,15,55,162,594,0.0925926,0.0925926,1,0,true
has_properties__AND__has_ref,has_properties,has_ref,7,358,0.0191781,2,68,23,733,0.0869565,0.0927694,0.93734,-0.00581292,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,3,67,35,721,0.0857143,0.0929265,0.922388,-0.00721221,true
has_anyOf__AND__has_type,has_anyOf,has_type,26,339,0.0712329,7,63,84,672,0.0833333,0.09375,0.888889,-0.0104167,true
has_enum__AND__has_type,has_enum,has_type,82,283,0.224658,15,55,179,577,0.0837989,0.0953206,0.879126,-0.0115217,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,2,68,26,730,0.0769231,0.0931507,0.825792,-0.0162276,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,2,68,26,730,0.0769231,0.0931507,0.825792,-0.0162276,true
has_defs__AND__has_properties,has_defs,has_properties,26,339,0.0712329,2,68,28,728,0.0714286,0.0934066,0.764706,-0.021978,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,24,341,0.0657534,2,68,29,727,0.0689655,0.0935351,0.737323,-0.0245696,true
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,2,68,33,723,0.0606061,0.0940526,0.644385,-0.0334465,true
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,2,68,33,723,0.0606061,0.0940526,0.644385,-0.0334465,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,2,68,40,716,0.05,0.0949721,0.526471,-0.0449721,true
has_default__AND__has_type,has_default,has_type,29,336,0.0794521,3,67,60,696,0.05,0.0962644,0.519403,-0.0462644,true
has_defs__AND__has_type,has_defs,has_type,31,334,0.0849315,2,68,46,710,0.0434783,0.0957746,0.453964,-0.0522964,true
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,2,68,55,701,0.0363636,0.0970043,0.374866,-0.0606406,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,8,357,0.0219178,1,69,31,725,0.0322581,0.0951724,0.338943,-0.0629143,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,12,353,0.0328767,0,70,28,728,0,0.0961538,0,-0.0961538,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,12,353,0.0328767,0,70,28,728,0,0.0961538,0,-0.0961538,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,21,344,0.0575342,0,70,35,721,0,0.0970874,0,-0.0970874,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,7,63,7,749,1,0.0841121,11.8889,0.915888,false
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,4,66,4,752,1,0.087766,11.3939,0.912234,false
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,2,363,0.00547945,4,66,4,752,1,0.087766,11.3939,0.912234,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,1,364,0.00273973,3,67,3,753,1,0.0889774,11.2388,0.911023,false
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,1,364,0.00273973,3,67,3,753,1,0.0889774,11.2388,0.911023,false
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,1,364,0.00273973,2,68,2,754,1,0.0901857,11.0882,0.909814,false
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,1,364,0.00273973,1,69,1,755,1,0.0913907,10.942,0.908609,false
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,13,57,19,737,0.684211,0.0773406,8.84672,0.60687,false
has_not__AND__has_oneOf,has_not,has_oneOf,2,363,0.00547945,4,66,6,750,0.666667,0.088,7.57576,0.578667,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,1,364,0.00273973,2,68,3,753,0.666667,0.0903054,7.38235,0.576361,false
has_maximum__AND__has_properties,has_maximum,has_properties,4,361,0.0109589,8,62,14,742,0.571429,0.083558,6.83871,0.487871,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,2,363,0.00547945,3,67,5,751,0.6,0.0892144,6.72537,0.510786,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,2,363,0.00547945,3,67,5,751,0.6,0.0892144,6.72537,0.510786,false
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,9,61,17,739,0.529412,0.082544,6.41369,0.446868,false
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,6,359,0.0164384,9,61,17,739,0.529412,0.082544,6.41369,0.446868,false
has_not__AND__has_properties,has_not,has_properties,6,359,0.0164384,7,63,13,743,0.538462,0.0847914,6.35043,0.45367,false
has_not__AND__has_type,has_not,has_type,7,358,0.0191781,7,63,14,742,0.5,0.0849057,5.88889,0.415094,false
has_maxItems__AND__has_required,has_maxItems,has_required,3,362,0.00821918,2,68,4,752,0.5,0.0904255,5.52941,0.409574,false
