feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,362,0.00821918,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,362,0.00821918,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,362,0.00821918,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,362,0.00821918,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,3,362,0.00821918,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_allOf__AND__has_ref,has_allOf,has_ref,2,363,0.00547945,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,2,363,0.00547945,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,2,363,0.00547945,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_minItems__AND__has_minLength,has_minItems,has_minLength,2,363,0.00547945,0,47,8,746,0,0.0630027,0,-0.0630027,false
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,0,47,10,744,0,0.063172,0,-0.063172,false
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,0,47,10,744,0,0.063172,0,-0.063172,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,3,362,0.00821918,0,47,10,744,0,0.063172,0,-0.063172,false
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,360,0.0136986,0,47,13,741,0,0.0634278,0,-0.0634278,false
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,360,0.0136986,0,47,13,741,0,0.0634278,0,-0.0634278,false
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,0,47,14,740,0,0.0635135,0,-0.0635135,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,5,360,0.0136986,0,47,14,740,0,0.0635135,0,-0.0635135,false
has_ref__AND__has_required,has_ref,has_required,5,360,0.0136986,0,47,14,740,0,0.0635135,0,-0.0635135,false
has_default__AND__has_enum,has_default,has_enum,8,357,0.0219178,0,47,15,739,0,0.0635995,0,-0.0635995,false
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,357,0.0219178,0,47,15,739,0,0.0635995,0,-0.0635995,false
has_enum__AND__has_minItems,has_enum,has_minItems,5,360,0.0136986,0,47,15,739,0,0.0635995,0,-0.0635995,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,4,361,0.0109589,0,47,15,739,0,0.0635995,0,-0.0635995,false
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,6,359,0.0164384,0,47,16,738,0,0.0636856,0,-0.0636856,false
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,5,360,0.0136986,0,47,17,737,0,0.063772,0,-0.063772,false
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,4,361,0.0109589,0,47,18,736,0,0.0638587,0,-0.0638587,false
has_minItems__AND__has_pattern,has_minItems,has_pattern,4,361,0.0109589,0,47,18,736,0,0.0638587,0,-0.0638587,false
has_properties__AND__has_ref,has_properties,has_ref,7,358,0.0191781,0,47,19,735,0,0.0639456,0,-0.0639456,false
